id_encuestado;Fecha;Edad;Genero;Pais de residencia;Nivel educativo alcanzado;Estado Nivel Ed;Ocupacion;Anio en que te hiciste fan;Album favorito;Cancion favorita ;Genero musical preferido;Primer album escuchado;Compra entradas;Cantidad de asistencia a conciertos;Compra merch oficial;Regrabación favorita;Momento de mayor impacto en mi vida;Nivel de identificación con sus canciones;Album más emotivo;Canción más emotiva;Conozco los Easter Eggs;Sigo a Taylor en redes;Soy fan de Taylor;Formo parte de grupos o foros;Participacion en debates de teorias;Interes mayor;Compra vinilo;Nivel Fanatismo
1;22/1/2024;31;1;1;4;1;5;2010;8;50;3;2;4;2;1;10;1;10;15;26;1;1;1;1;1;2;2;10
2;2/4/2024;32;1;1;3;1;3;2008;14;66;4;2;4;2;1;10;1;5;6;2;1;1;3;2;2;1;2;7
3;20/4/2024;36;1;1;4;1;3;2008;8;31;4;1;4;1;3;11;5;10;16;2;1;1;1;2;2;2;2;9
4;14/5/2024;28;1;1;2;1;3;2008;2;13;4;2;4;1;3;11;5;8;3;2;1;1;1;2;2;1;1;8
5;7/2/2024;22;2;1;4;1;3;2012;14;50;3;3;1;0;4;14;3;7;15;2;3;1;2;1;3;1;1;7
6;24/3/2024;22;1;1;2;1;4;2019;6;26;3;6;4;2;3;10;5;7;4;9;3;2;2;2;1;2;2;6
7;21/9/2024;39;1;1;5;3;3;2024;8;43;3;5;1;0;3;14;2;7;4;43;2;1;2;2;2;2;2;5
8;4/5/2024;22;1;1;4;3;3;2019;8;56;4;2;4;1;4;14;5;8;15;50;1;1;1;2;1;1;1;8
9;11/6/2024;24;1;1;4;3;3;2019;6;67;4;5;4;2;3;11;5;9;6;2;1;1;1;2;1;2;1;8
10;19/6/2024;34;1;10;5;1;3;2008;2;38;4;2;1;0;3;10;1;9;16;64;2;1;1;2;2;2;2;7
11;29/5/2024;22;1;1;4;3;5;2021;8;23;3;4;4;2;1;11;5;8;15;8;1;1;1;1;1;1;1;10
12;2/2/2024;25;1;1;4;3;4;2020;5;46;4;2;4;1;4;11;5;10;4;8;1;1;3;1;2;2;3;7
13;3/1/2024;22;1;1;4;3;3;2020;6;28;4;2;4;3;1;11;5;8;4;2;1;1;1;2;1;2;1;8
14;19/6/2024;22;2;1;4;3;4;2019;8;30;3;4;4;1;3;10;1;5;6;19;3;1;2;2;3;2;3;4
15;14/2/2024;27;1;1;4;1;3;2008;7;39;4;2;4;1;4;11;5;7;12;2;1;1;3;2;3;3;1;8
16;9/4/2024;35;1;2;5;1;3;2006;11;49;4;1;2;0;4;11;5;6;6;43;2;1;3;2;2;2;2;7
17;21/10/2024;23;1;1;4;3;3;2020;12;65;4;5;1;0;4;14;5;5;6;2;1;1;1;2;2;2;2;5
18;20/2/2024;23;1;1;4;3;4;2020;15;58;1;7;4;1;3;13;5;9;15;3;1;1;1;2;1;2;2;7
19;9/10/2024;26;2;1;4;1;3;2008;3;5;1;2;5;0;1;14;1;6;3;43;2;2;2;2;2;1;2;6
20;21/9/2024;26;1;1;4;3;3;2009;9;40;6;2;4;2;4;11;2;10;6;68;1;1;1;2;1;1;1;9
21;6/10/2024;24;1;1;4;3;3;2010;11;60;3;2;4;1;4;10;5;8;6;3;1;1;3;2;3;2;2;7
22;2/1/2024;30;1;1;4;1;3;2008;6;43;4;2;4;1;4;14;2;10;7;37;1;1;1;1;2;1;1;8
23;8/5/2024;23;1;1;4;3;3;2017;6;15;4;5;3;0;3;14;1;4;6;51;2;2;2;2;2;2;2;1
24;23/8/2024;18;1;1;2;3;4;2021;6;52;4;5;4;1;3;14;1;9;15;20;1;1;1;2;3;1;1;10
25;20/3/2024;18;1;1;2;1;4;2021;6;42;4;5;4;1;4;14;1;9;15;59;1;1;1;2;3;1;1;10
26;14/8/2024;15;1;1;1;1;4;2021;8;54;4;7;4;1;4;13;3;8;12;68;3;1;1;2;1;1;1;7
27;19/2/2024;16;1;1;2;3;4;2023;13;14;4;10;1;0;1;10;1;7;15;37;3;1;1;1;3;2;1;7
28;26/3/2024;15;2;1;2;3;4;2022;14;41;4;5;1;0;3;14;1;8;15;25;1;1;1;1;1;1;1;9
29;21/6/2024;34;1;1;4;1;2;2010;8;59;4;3;4;1;1;13;5;10;15;2;2;1;1;2;2;1;3;8
30;12/3/2024;35;1;1;4;1;3;2012;9;8;3;4;4;1;3;10;2;6;15;8;1;1;2;2;2;2;2;7
31;15/9/2024;32;2;1;4;3;3;2024;8;1;5;6;3;0;3;14;3;5;8;43;2;2;2;2;3;1;3;3
32;26/5/2024;22;1;1;2;1;4;2020;10;17;4;2;1;0;4;14;2;10;6;4;1;1;1;2;3;1;1;9
33;25/7/2024;35;5;1;4;1;3;2008;8;28;3;2;4;1;3;14;5;7;16;16;1;1;3;2;2;1;1;7
34;15/9/2024;13;1;1;2;1;4;2021;6;18;4;5;4;1;4;14;1;8;15;3;1;1;1;1;3;1;1;8
35;17/5/2024;30;1;1;4;3;5;2008;6;1;1;2;4;1;1;14;1;10;8;65;1;1;1;1;2;2;1;9
36;15/4/2024;29;1;1;6;1;3;2010;3;17;4;2;4;1;3;11;1;10;6;2;1;1;3;2;1;2;3;7
37;6/10/2024;30;1;1;4;3;3;2009;8;7;1;2;4;1;1;14;2;10;9;3;1;1;1;2;1;2;1;8
38;22/2/2024;30;1;5;5;1;3;2018;5;1;4;3;1;0;3;14;2;8;16;28;1;1;3;2;2;2;2;8
39;23/9/2024;28;1;5;4;3;3;2008;12;63;4;2;4;1;1;13;1;10;12;2;1;1;1;2;1;2;1;9
40;20/1/2024;25;1;5;4;3;3;2010;10;8;1;2;4;6;1;11;1;10;8;8;1;1;1;1;1;2;1;10
41;22/2/2024;15;1;5;3;3;4;2022;8;25;4;5;4;1;1;14;1;9;15;4;1;1;1;1;2;1;1;8
42;10/7/2024;31;1;5;4;1;5;2006;6;46;4;1;4;2;3;13;3;10;15;27;1;1;1;1;2;2;2;8
43;6/10/2024;22;1;5;6;3;4;2020;6;29;3;5;4;1;1;14;1;10;15;26;1;1;1;1;1;1;3;9
44;15/1/2024;18;1;5;4;3;4;2022;13;44;4;12;4;1;3;14;1;7;15;68;1;1;1;1;2;2;3;8
45;30/4/2024;23;1;5;4;1;3;2017;8;14;4;5;4;1;4;14;5;9;3;2;1;1;1;1;1;1;3;9
46;19/10/2024;28;1;1;4;3;3;2020;6;53;4;7;4;1;4;14;2;10;15;3;1;1;1;1;1;1;1;9
47;23/8/2024;25;1;5;6;1;4;2012;9;26;3;2;4;1;4;11;3;8;15;26;1;1;1;1;1;2;3;7
